gene;Oral.AFB.Sham;Oral.CB.Sham;Inj.AFB.Sham;Inj.AFB.Infected
LOC100578034;1;0;0;0
LOC113219373;1;0;0;0
LOC102656198;1;1;0;0
LOC113218968;1;0;0;0
LOC100576170;1;0;0;0
LOC727131;1;0;0;0
LOC412295;1;0;1;0
LOC411602;1;0;0;0
LOC113219021;1;0;0;0
LOC413679;1;0;0;0
LOC412162;1;0;0;0
LOC409666;1;0;0;0
LOC410638;1;0;0;0
CPR12;1;0;0;0
LOC726969;1;1;0;0
LOC107965773;1;0;0;0
CPR4;1;0;1;1
LOC552257;1;0;0;0
LOC113219378;1;0;0;0
CPR18;1;0;0;0
LOC113219356;1;0;0;0
Mir6060;1;0;1;0
LOC724776;1;0;1;0
Y-h;1;0;0;0
LOC113219382;1;0;0;0
LOC113219143;1;0;0;0
LOC113219290;1;0;0;0
LOC411670;1;0;0;0
LOC411646;1;0;0;0
LOC725838;1;0;0;0
LOC409598;1;1;0;0
CPR17;1;0;1;0
LOC725893;1;0;0;0
LOC100578744;1;0;0;0
LOC412795;1;0;0;0
LOC725346;1;0;1;0
LOC113219349;1;0;0;0
LOC100576193;1;0;1;1
LOC408295;1;0;0;0
LOC102655710;1;0;0;0
Cpap3-d;1;0;0;0
LOC100578042;1;0;0;0
LOC100578193;1;0;0;0
LOC724477;1;0;0;0
LOC102655072;1;0;1;0
Hex70a;1;0;0;0
LOC551908;1;0;0;0
LOC113219368;1;0;0;0
LOC102654795;1;0;0;0
LOC551761;1;0;1;0
LOC552154;1;0;0;0
LOC102656294;1;0;1;1
LOC100578276;1;0;0;0
LOC113219330;1;0;0;0
LOC113219340;1;0;0;0
LOC726201;1;0;1;0
LOC413408;1;0;0;0
LOC100578361;1;0;0;0
LOC408596;1;0;0;0
LOC550671;1;0;0;0
E74;1;0;0;0
LOC100577541;1;0;0;0
LOC726468;1;0;0;0
LOC412475;1;0;0;0
LOC113219336;1;0;0;0
LOC100578727;1;0;0;0
LOC552453;1;0;0;0
LOC100576740;1;1;0;0
LOC410480;1;0;0;0
LOC551533;1;0;0;0
LOC411343;1;0;0;0
LOC410506;1;0;0;0
LOC100577915;1;0;0;0
LOC409795;1;0;0;0
LOC724735;1;0;0;0
LOC100578085;1;0;0;0
LOC113219274;1;0;0;0
LOC113219387;1;0;0;0
LOC725089;1;0;1;0
LOC724561;1;0;0;0
LOC107964997;1;0;0;0
LOC100577064;1;0;0;0
Cpap3-c;1;0;0;0
LOC408898;1;0;0;0
LOC412515;1;0;0;0
LOC410748;1;0;0;0
LOC100578368;1;1;0;0
LOC413168;1;0;0;0
CPR27;1;0;1;1
LOC102654936;1;0;0;0
LOC727010;1;0;1;0
LOC413785;1;0;0;0
LOC100578130;1;0;0;0
LOC551360;1;0;0;0
LOC100576700;1;0;0;0
LOC100577398;1;0;0;0
LOC100576961;1;0;0;0
LOC724464;1;1;1;0
LOC552320;1;0;0;0
LOC102654016;1;0;0;0
LOC409402;1;0;0;0
LOC725470;1;0;0;0
LOC412013;1;0;1;0
LOC409143;1;0;0;0
CPR11;1;0;0;0
LOC552277;1;0;0;0
CPR28;1;0;0;0
LOC550828;1;0;0;0
LOC411665;1;0;0;0
LOC113219046;1;0;0;0
LOC408536;1;0;0;0
LOC725127;1;0;0;0
LOC724974;1;0;0;0
LOC726185;1;1;0;0
LOC113219006;1;0;0;0
LOC411264;1;0;0;0
LOC726451;1;0;0;0
LOC552242;1;0;0;0
LOC724449;1;1;0;0
LOC727028;1;0;0;0
LOC726981;1;0;0;0
LOC726879;1;1;0;0
LOC408508;1;0;0;0
LOC552836;1;0;0;0
LOC551502;1;0;0;0
LOC724145;1;0;0;0
LOC724644;1;0;0;0
LOC725019;1;0;0;0
LOC408774;1;0;0;0
LOC550735;1;0;0;0
LOC100578464;1;0;0;0
LOC113219216;1;0;0;0
LOC725450;1;0;0;0
LOC413047;1;0;0;0
LOC551525;1;0;1;0
LOC725041;1;0;0;0
LOC102656390;1;0;0;0
LOC102654893;1;0;0;0
LOC726322;1;1;0;0
LOC725082;1;0;0;0
LOC100578382;1;0;0;0
LOC552005;1;1;0;0
LOC552358;1;0;0;0
LOC552217;1;0;1;0
LOC410293;1;0;0;0
LOC413256;1;0;0;0
LOC408405;1;0;0;0
LOC102653936;1;0;0;0
LOC100576602;1;0;0;0
LOC724645;1;0;0;0
LOC100576919;1;0;0;0
LOC413056;1;0;0;0
LOC412825;1;0;0;0
LOC410744;1;0;1;1
LOC102655762;1;0;0;0
LOC726554;1;1;0;0
LOC102656397;1;0;0;0
LOC410087;0;1;0;0
LOC724367;0;1;0;0
LOC412197;0;1;0;0
LOC100577848;0;1;0;0
LOC724488;0;1;0;0
